"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"LATITUDE";"LONGITUDE";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"OER-00078";"OER-00078-01";"Alta Potência Rápido";"Em uso";"Oeiras";"LARGO 5 DE OUTUBRO (BARCARENA)";"38.731591";"-9.2781999";"GLP - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Fora de Serviço";"2026-01-31T15:09:27.801Z"
"OER-00078";"OER-00078-02";"Alta Potência Rápido";"Em uso";"Oeiras";"LARGO 5 DE OUTUBRO (BARCARENA)";"38.731591";"-9.2781999";"GLP - Galp";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Em uso";"2026-01-31T15:09:27.801Z"
"OER-00078";"OER-00078-03";"Alta Potência Rápido";"Em uso";"Oeiras";"LARGO 5 DE OUTUBRO (BARCARENA)";"38.731591";"-9.2781999";"GLP - Galp";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"43";"Em uso";"2026-01-31T15:09:27.801Z"
"OER-00079";"OER-00079-01";"Alta Potência Rápido";"Offline";"Oeiras";"RUA ENCOSTA DAS LAGOAS (PORTO SALVO)";"38.714457";"-9.309421";"GLP - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Offline";"2026-01-30T19:47:54.059Z"
"OER-00079";"OER-00079-02";"Alta Potência Rápido";"Offline";"Oeiras";"RUA ENCOSTA DAS LAGOAS (PORTO SALVO)";"38.714457";"-9.309421";"GLP - Galp";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Offline";"2026-01-30T19:47:54.059Z"
"OER-00079";"OER-00079-03";"Alta Potência Rápido";"Offline";"Oeiras";"RUA ENCOSTA DAS LAGOAS (PORTO SALVO)";"38.714457";"-9.309421";"GLP - Galp";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"43";"Offline";"2026-01-30T19:47:54.059Z"
"OER-00080";"OER-00080-01";"Alta Potência Rápido";"Disponível";"Oeiras";"RUA DR";"38.70169";"-9.275685";"GLP - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Fora de Serviço";"2026-01-31T15:22:15.156Z"
"OER-00080";"OER-00080-02";"Alta Potência Rápido";"Disponível";"Oeiras";"RUA DR";"38.70169";"-9.275685";"GLP - Galp";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Disponível";"2026-01-31T15:22:15.156Z"
"OER-00080";"OER-00080-03";"Alta Potência Rápido";"Disponível";"Oeiras";"RUA DR";"38.70169";"-9.275685";"GLP - Galp";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"22";"Disponível";"2026-01-31T15:22:15.156Z"
"OER-00081";"OER-00081-01";"Alta Potência Ultrarrápido";"Disponível";"Oeiras";"RUA JOÃO XXI-ANTIGA R SOARES PASSOS-QUEIJAS";"38.719002";"-9.263002";"GLP - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"43";"Disponível";"2026-01-31T15:31:10.228Z"
"OER-00081";"OER-00081-02";"Alta Potência Ultrarrápido";"Disponível";"Oeiras";"RUA JOÃO XXI-ANTIGA R SOARES PASSOS-QUEIJAS";"38.719002";"-9.263002";"GLP - Galp";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"160";"Disponível";"2026-01-31T15:31:10.228Z"
"OER-00082";"OER-00082-01";"Alta Potência Ultrarrápido";"Disponível";"Oeiras";"Rua de Aljubarrota";"38.680445";"-9.320193";"GLP - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Disponível";"2026-01-31T13:14:13.450Z"
